font,codepoint,name,in_font_per_metadata
Santakku,0x121dd,LAGAB TIMES SHITA PLUS GISH PLUS ERIN2,False
Santakku,0x121de,LAGAB TIMES SHITA PLUS GISH TENU,False
Santakku,0x121df,LAGAB TIMES SHU2,False
Santakku,0x121e0,LAGAB TIMES SHU2 PLUS SHU2,False
Santakku,0x121e2,,False
Santakku,0x121e3,LAGAB TIMES TAK4,False
Santakku,0x121e4,LAGAB TIMES TE PLUS A PLUS SU PLUS NA,False
Santakku,0x121e6,LAGAB TIMES U PLUS A,False
Santakku,0x121e7,LAGAB TIMES U PLUS U PLUS U,False
Santakku,0x121e8,LAGAB TIMES U2 PLUS ASH,False
Santakku,0x121e9,LAGAB TIMES UD,False
Santakku,0x121ea,LAGAB TIMES USH,False
Santakku,0x121eb,LAGAB SQUARED,False
Santakku,0x121ed,LAGAR TIMES SHE,False
Santakku,0x121ee,LAGAR TIMES SHE PLUS SUM,False
Santakku,0x121f0,LAGAR GUNU OVER LAGAR GUNU SHE,False
Santakku,0x121f1,,False
Santakku,0x121f5,LAM TIMES KUR,False
Santakku,0x121f6,,False
Santakku,0x121f8,LIL,False
Santakku,0x121f9,LIMMU2,False
Santakku,0x121fc,LU TIMES BAD,False
Santakku,0x121fe,LU2 TIMES AL,False
Santakku,0x121ff,LU2 TIMES BAD,False
Santakku,0x12200,LU2 TIMES ESH2,False
Santakku,0x12201,LU2 TIMES ESH2 TENU,False
Santakku,0x12202,LU2 TIMES GAN2 TENU,False
Santakku,0x12203,LU2 TIMES HI TIMES BAD,False
Santakku,0x12204,LU2 TIMES IM,False
Santakku,0x12205,LU2 TIMES KAD2,False
Santakku,0x12206,LU2 TIMES KAD3,False
Santakku,0x12207,,False
Santakku,0x12208,LU2 TIMES KI,False
Santakku,0x12209,,False
Santakku,0x1220a,LU2 TIMES LAGAB,False
Santakku,0x1220b,LU2 TIMES ME PLUS EN,False
Santakku,0x1220c,LU2 TIMES NE,False
Santakku,0x1220d,,False
Santakku,0x1220e,,False
Santakku,0x1220f,LU2 TIMES SIK2 PLUS BU,False
Santakku,0x12210,LU2 TIMES TUG2,False
Santakku,0x12211,LU2 TENU,False
Santakku,0x12212,LU2 CROSSING LU2,False
Santakku,0x12213,LU2 OPPOSING LU2,False
Santakku,0x12214,LU2 SQUARED,False
Santakku,0x12215,LU2 SHESHIG,False
Santakku,0x12216,LU3,False
Santakku,0x12218,LUGAL OVER LUGAL,False
Santakku,0x12219,LUGAL OPPOSING LUGAL,False
Santakku,0x1221a,,False
Santakku,0x1221e,LUM OVER LUM & SHU2,False
Santakku,0x1221f,LUM OVER LUM GAR OVER GAR,False
Santakku,0x12221,,False
Santakku,0x12222,MA GUNU,False
Santakku,0x1222f,MUG GUNU,False
Santakku,0x12230,MUNSUB,False
Santakku,0x12231,MURGU2,False
Santakku,0x12233,,False
Santakku,0x12234,,False
Santakku,0x12235,,False
Santakku,0x12236,MUSH OVER MUSH,False
Santakku,0x12237,MUSH OVER MUSH TIMES A PLUS NA,False
Santakku,0x12238,MUSH CROSSING MUSH,False
Santakku,0x1223a,MUSH3 TIMES A,False
Santakku,0x1223b,MUSH3 TIMES A PLUS DI,False
Santakku,0x1223c,,False
Santakku,0x12241,NAGA INVERTED,False
Santakku,0x12242,NAGA TIMES SHU TENU,False
Santakku,0x12243,NAGA OPPOSING NAGA,False
Santakku,0x12245,,False
Santakku,0x12247,NAM2,False
Santakku,0x12249,NE TIMES A,False
Santakku,0x1224a,NE TIMES UD,False
Santakku,0x1224d,NI TIMES E,False
Santakku,0x1224e,NI2,False
Santakku,0x12251,NIM TIMES GAR PLUS GAN2 TENU,False
Santakku,0x12252,NINDA2,False
Santakku,0x12254,NINDA2 TIMES ASH,False
Santakku,0x12255,NINDA2 TIMES ASH PLUS ASH,False
Santakku,0x12256,NINDA2 TIMES GUD,False
Santakku,0x12257,NINDA2 TIMES ME PLUS GAN2 TENU,False
Santakku,0x12259,NINDA2 TIMES NUN,False
Santakku,0x1225a,NINDA2 TIMES SHE,False
Santakku,0x1225b,NINDA2 TIMES SHE PLUS A AN,False
Santakku,0x1225c,NINDA2 TIMES SHE PLUS ASH,False
Santakku,0x1225d,NINDA2 TIMES SHE PLUS ASH PLUS ASH,False
Santakku,0x1225e,NINDA2 TIMES U2 PLUS ASH,False
Santakku,0x1225f,,False
Santakku,0x12260,NISAG (read NISAG2),False
Santakku,0x12262,NU11,False
Santakku,0x12264,NUN LAGAR TIMES GAR,False
Santakku,0x12265,NUN LAGAR TIMES USH,False
Santakku,0x12266,NUN LAGAR TIMES SAL,False
Santakku,0x12267,NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,False
Santakku,0x12268,,False
Santakku,0x12269,NUN TENU,False
Santakku,0x1226b,NUN CROSSING NUN,False
