hex,NotoSansCuneiform-Regular,Santakku,SantakkuM,Esagil,CuneiformOB,CuneiformNA,Assurbanipal,CuneiformComposite,name
0x12131,True,False,False,True,True,False,True,True,HI TIMES DISH
0x12132,True,True,False,True,True,False,True,True,HI TIMES GAD
0x12133,True,False,False,True,True,False,True,True,HI TIMES KIN
0x12134,True,True,True,True,True,True,True,True,HI TIMES NUN
0x12135,True,False,False,True,True,True,True,True,HI TIMES SHE
0x12136,True,False,False,True,True,False,True,True,HI TIMES U
0x12137,True,True,True,True,True,True,True,True,HU
0x12138,True,True,True,True,True,True,True,True,HUB2
0x12139,True,False,False,True,True,False,True,True,
0x1213a,True,False,False,True,True,False,True,True,
0x1213b,True,False,False,True,True,False,True,True,
0x1213c,True,False,False,True,True,False,True,True,
0x1213d,True,True,False,True,True,True,True,True,HUB2 TIMES UD
0x1213e,True,True,False,True,True,True,True,True,HUL2
0x1213f,True,True,True,True,True,True,True,True,I
0x12140,True,True,True,True,True,True,True,True,I A
0x12141,True,True,True,True,True,True,True,True,IB
0x12142,True,False,False,True,True,True,True,True,IDIM
0x12143,True,False,False,True,True,False,True,True,IDIM OVER IDIM BUR
0x12144,True,False,False,True,True,False,True,True,
0x12145,True,True,True,True,True,True,True,True,IG
0x12146,True,True,True,True,True,True,True,True,IGI & GAR
0x12147,True,True,True,True,True,True,True,True,IGI & DIB
0x12148,True,True,True,True,True,True,True,True,IGI RI
0x12149,True,False,False,True,True,False,True,True,IGI OVER IGI SHIR OVER SHIR UD OVER UD
0x1214a,True,True,False,True,True,True,True,True,IGI GUNU
0x1214b,True,True,True,True,True,True,True,True,IL
0x1214c,True,False,False,True,True,False,True,True,IL TIMES GAN2 TENU
0x1214d,True,True,True,True,True,True,True,True,IL2
0x1214e,True,True,True,True,True,True,True,True,IM
0x1214f,True,False,False,True,True,False,True,True,IM TIMES TAK4
0x12150,True,False,False,True,True,False,True,True,IM CROSSING IM
0x12151,True,False,False,True,True,False,True,True,
0x12152,True,False,False,True,True,False,True,True,IM SQUARED
0x12153,True,False,False,True,True,True,True,True,IMIN
0x12154,True,True,True,True,True,True,True,True,IN
0x12155,True,True,True,True,True,True,True,True,IR
0x12156,True,True,True,True,True,True,True,True,ISH
0x12157,True,True,True,True,True,True,True,True,KA
0x12158,True,False,True,True,True,True,True,True,KA TIMES A
0x12159,True,False,False,True,True,False,True,True,
0x1215a,True,False,False,True,True,True,True,True,KA TIMES AD PLUS KU3
0x1215b,True,False,False,True,True,True,True,True,KA TIMES ASH2
0x1215c,True,False,False,True,True,True,True,True,KA TIMES BAD
0x1215d,True,False,False,True,True,False,True,True,KA TIMES BALAG
0x1215e,True,False,False,True,True,False,True,True,KA TIMES BAR
0x1215f,True,False,False,True,True,False,True,True,
0x12160,True,False,False,True,True,False,True,True,KA TIMES ERIN2
0x12161,True,False,False,True,True,True,True,True,KA TIMES ESH2
0x12162,True,False,False,True,True,True,True,True,KA TIMES GA
0x12163,True,False,False,True,True,False,True,True,
0x12164,True,True,False,True,True,True,True,True,KA TIMES GAN2 TENU
0x12165,True,True,False,True,True,True,True,True,KA TIMES GAR
0x12166,True,False,False,True,True,False,True,True,KA TIMES GAR PLUS SHA3 PLUS A
0x12167,True,False,False,True,True,False,True,True,
0x12168,True,False,False,True,True,False,True,True,KA TIMES GIR2
0x12169,True,False,False,True,True,False,True,True,
0x1216a,True,False,False,True,True,True,True,True,KA TIMES GISH CROSSING GISH
0x1216b,True,False,False,True,True,True,True,True,KA TIMES GU
0x1216c,True,False,False,True,True,False,True,True,KA TIMES GUR7
0x1216d,True,False,False,True,True,False,True,True,KA TIMES IGI
0x1216e,True,False,False,True,True,True,True,True,KA TIMES IM
0x1216f,True,False,False,True,True,False,True,True,KA TIMES KAK
0x12170,True,False,False,True,True,False,True,True,KA TIMES KI
0x12171,True,False,False,True,True,False,True,True,
0x12172,True,False,False,True,True,True,True,True,KA TIMES LI
0x12173,True,False,False,True,True,False,True,True,
0x12174,True,False,True,True,True,True,True,True,KA TIMES ME
0x12175,True,False,False,True,True,False,True,True,KA TIMES ME PLUS DU
