font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Assurbanipal,0x122ca,SHIM TIMES DIN,0.0001,13,2,,,model
Assurbanipal,0x122d0,SHIM TIMES MUG,0.0,13,2,,,model
Assurbanipal,0x122d4,SHIR TENU,0.0002,5,2,,,model
Assurbanipal,0x122ec,TA ASTERISK,0.002,6,2,,,model
Assurbanipal,0x122ee,TA TIMES MI,0.0032,12,2,,,model
Assurbanipal,0x12320,,0.0026,12,2,,,model
Assurbanipal,0x12330,UR2 TIMES NUN,0.0041,12,2,,,model
Assurbanipal,0x12334,UR4,0.0008,6,2,,,model
Assurbanipal,0x12336,URI3,0.0008,12,2,,,model
Assurbanipal,0x12340,URU TIMES GU,0.0001,11,2,,,model
Assurbanipal,0x12341,URU TIMES HA,0.0036,10,2,,,model
Assurbanipal,0x12353,USH TIMES KU,0.0029,11,2,,,model
Assurbanipal,0x12376,,0.0027,12,2,,,model
Assurbanipal,0x12377,,0.0049,14,2,,,model
Assurbanipal,0x1238f,,0.0,8,2,,,model
Assurbanipal,0x12390,,0.0,8,2,,,model
Assurbanipal,0x12393,,0.0035,5,2,,,model
Esagil,0x1200f,AB TIMES HA,0.0006,11,2,,,model
Esagil,0x1201d,AK,0.0007,6,2,,,model
Esagil,0x12033,APIN,0.0013,6,2,,,model
Esagil,0x12034,ARAD,0.0003,5,2,,,model
Esagil,0x12046,BALAG,0.0001,12,2,,,model
Esagil,0x1206e,DAM,0.0002,10,2,,,model
Esagil,0x12072,DI,0.0024,6,2,,,model
Esagil,0x1207d,DU SHESHIG,0.0012,9,2,,,model
Esagil,0x12085,DUN3,0.0037,7,2,,,model
Esagil,0x12086,DUN3 GUNU,0.0037,7,2,,,model
Esagil,0x12096,EL,0.0005,9,2,,,model
Esagil,0x12098,EN TIMES GAN2,0.0023,12,2,,,model
Esagil,0x120ac,EZEN TIMES KASKAL,0.0004,14,2,,,model
Esagil,0x120ee,GABA,0.0027,8,2,,,model
Esagil,0x120f8,GAN2 TENU,0.0001,6,2,,,model
Esagil,0x120fc,GAR3,0.0001,10,2,,,model
Esagil,0x12125,GUR,0.0002,4,2,,,model
Esagil,0x12130,HI TIMES BAD,0.0009,5,2,,,model
Esagil,0x12137,HU,0.0002,3,2,,,model
Esagil,0x1214a,IGI GUNU,0.0,7,2,,,model
Esagil,0x12156,ISH,0.0013,5,2,,,model
Esagil,0x12161,KA TIMES ESH2,0.0,13,2,,,model
Esagil,0x12225,MAR,0.0002,5,2,,,model
Esagil,0x12232,MUSH,0.0001,7,2,,,model
Esagil,0x12239,MUSH3,0.0005,5,2,,,model
Esagil,0x1223b,MUSH3 TIMES A PLUS DI,0.0001,14,2,,,model
Esagil,0x12263,NUN,0.0008,5,2,,,model
Esagil,0x122a9,SAL,0.0003,4,2,,,model
Esagil,0x122ae,SHA3,0.0041,6,2,,,model
Esagil,0x122d9,SHU2,0.0013,2,2,,,model
Esagil,0x122fe,TI TENU,0.0003,5,2,,,model
Esagil,0x1230d,U U U,0.0031,3,2,,,model
Esagil,0x1232b,UR2,0.0004,7,2,,,model
Esagil,0x12337,URU,0.004,5,2,,,model
Esagil,0x1233a,URU TIMES BAR,0.0012,7,2,,,model
Esagil,0x12340,URU TIMES GU,0.0,11,2,,,model
Esagil,0x1234d,URU TIMES UD,0.0014,8,2,,,model
Esagil,0x1235d,ZA,0.0028,4,2,,,model
Esagil,0x12362,ZE2,0.0003,8,2,,,model
Esagil,0x12363,ZI,0.0026,7,2,,,model
Esagil,0x12366,ZIB,0.0,4,2,,,model
Esagil,0x12409,,0.0028,4,2,,,model
Assurbanipal,0x12002,A TIMES BAD,0.0047,5,1,,,model
Assurbanipal,0x12019,AB2 TIMES ME PLUS EN,0.0022,9,1,,,model
Assurbanipal,0x1201b,AB2 TIMES TAK4,0.0009,13,1,,,model
Assurbanipal,0x1204b,BI TIMES GAR,0.0016,7,1,,,model
Assurbanipal,0x1204e,BU OVER BU AB,0.0001,15,1,,,model
Assurbanipal,0x12057,DAG KISIM5 TIMES A PLUS MASH,0.004,14,1,,,model
Assurbanipal,0x12063,DAG KISIM5 TIMES KAK,0.0004,14,1,,,model
Assurbanipal,0x1206a,DAG KISIM5 TIMES SI,0.0,14,1,,,model
Assurbanipal,0x12081,DUG,0.0028,6,1,,,model
Assurbanipal,0x120a4,EZEN TIMES A PLUS LAL TIMES LAL,0.0025,14,1,,,model
Assurbanipal,0x120b0,EZEN TIMES LAL TIMES LAL,0.0021,12,1,,,model
Assurbanipal,0x120c6,GA2 TIMES DUB,0.0,13,1,,,model
Assurbanipal,0x120db,GA2 TIMES KID PLUS LAL,0.0008,12,1,,,model
Assurbanipal,0x120f4,GALAM,0.0006,4,1,,,model
Assurbanipal,0x120fe,GESHTIN,0.0007,6,1,,,model
Assurbanipal,0x1210b,GIR3 TIMES A PLUS IGI,0.0024,10,1,,,model
Assurbanipal,0x12115,GISH TENU,0.0032,2,1,,,model
Assurbanipal,0x12192,KAD4,0.0016,9,1,,,model
Assurbanipal,0x121af,KU7,0.0025,4,1,,,model
Assurbanipal,0x121e7,LAGAB TIMES U PLUS U PLUS U,0.0017,7,1,,,model
