font,codepoint,name,confidence,n_wedges,doubtful_wedges,accept,notes,source
Assurbanipal,0x12041,BAD,0.2816,2,1,,,model
Assurbanipal,0x12142,IDIM,0.2816,2,1,,,model
Assurbanipal,0x121af,KU7,0.2783,4,1,,,model
Assurbanipal,0x12300,TIL,0.2816,2,1,,,model
Esagil,0x1224b,NE SHESHIG,0.2934,11,1,,,model
Assurbanipal,0x1204b,BI TIMES GAR,0.303,7,0,,,model
Esagil,0x12305,TU,0.3007,9,0,,,model
Assurbanipal,0x1210b,GIR3 TIMES A PLUS IGI,0.3088,10,0,,,model
Assurbanipal,0x12191,KAD3,0.3094,8,0,,,model
Assurbanipal,0x12299,SAG TIMES HA,0.3099,12,0,,,model
Assurbanipal,0x1229e,SAG TIMES NUN,0.3074,12,0,,,model
Esagil,0x120fc,GAR3,0.3122,10,0,,,model
Assurbanipal,0x12162,KA TIMES GA,0.3159,14,0,,,model
Assurbanipal,0x1225b,NINDA2 TIMES SHE PLUS A AN,0.3176,15,0,,,model
Esagil,0x122a8,SAG GUNU,0.3191,8,0,,,model
Esagil,0x122ba,SHE,0.3217,4,0,,,model
Assurbanipal,0x12182,KA TIMES SHID,0.3416,13,0,,,model
Assurbanipal,0x121fc,LU TIMES BAD,0.3385,9,0,,,model
Assurbanipal,0x122b3,SHA3 TIMES SHU2,0.3449,7,0,,,model
Assurbanipal,0x1232c,UR2 TIMES A PLUS HA,0.3436,15,0,,,model
Esagil,0x1206e,DAM,0.3427,10,0,,,model
Assurbanipal,0x12018,AB2 TIMES GAN2 TENU,0.3509,9,0,,,model
Assurbanipal,0x1210c,GIR3 TIMES GAN2 TENU,0.3509,9,0,,,model
Assurbanipal,0x121ef,LAGAR GUNU,0.3489,7,0,,,model
Assurbanipal,0x120a2,EZEN TIMES A,0.3648,12,0,,,model
Assurbanipal,0x121c6,LAGAB TIMES GUD,0.3576,9,0,,,model
Assurbanipal,0x121fe,LU2 TIMES AL,0.3596,16,0,,,model
Assurbanipal,0x12262,NU11,0.3625,6,0,,,model
Assurbanipal,0x1227c,PAN,0.3614,6,0,,,model
Assurbanipal,0x122d3,SHIR,0.3625,6,0,,,model
Assurbanipal,0x122e6,SUHUR,0.3582,13,0,,,model
Esagil,0x1221c,LUL,0.3609,9,0,,,model
Esagil,0x12224,MAH,0.3641,8,0,,,model
Assurbanipal,0x1202f,AN THREE TIMES,0.3743,9,0,,,model
Esagil,0x1217b,KA TIMES NUN,0.3746,12,0,,,model
Assurbanipal,0x12048,BARA2,0.3794,9,0,,,model
Assurbanipal,0x12096,EL,0.3769,8,0,,,model
Assurbanipal,0x122c2,SHESHLAM,0.3817,6,0,,,model
