font,codepoint,name,source,n_wedges,confidence,doubtful_wedges,mean_wedge_confidence,rare_orientation_wedges,off_ink_tails,clamped_wedges,scale,in_font_per_metadata
Assurbanipal,0x122b2,SHA3 TIMES NE,model,14,0.0006,1,0.8077,0,0,0,1.0,True
Assurbanipal,0x122b7,SHA6 (bad!),model,18,0.0004,1,0.8,0,0,0,1.0,True
Assurbanipal,0x122bf,SHEN,model,9,0.0009,1,0.6888,0,0,0,1.0,True
Assurbanipal,0x122ed,TA TIMES HI,model,7,0.0045,1,0.7462,0,0,0,1.0,True
Assurbanipal,0x122ff,,model,4,0.0009,1,0.6512,0,0,0,1.0,True
Assurbanipal,0x12301,TIR,model,14,0.0001,1,0.8058,0,0,0,1.0,True
Assurbanipal,0x12319,UD GUNU,model,5,0.0004,1,0.5476,0,0,0,1.0,True
Assurbanipal,0x1231c,UDUG,model,13,0.0006,1,0.7232,1,0,0,1.0,True
Assurbanipal,0x12332,UR2 TIMES U2 PLUS ASH,model,15,0.0012,1,0.8202,0,0,0,1.0,True
Assurbanipal,0x1233e,URU TIMES GAN2 TENU,model,11,0.0,1,0.7519,0,0,0,1.0,True
Assurbanipal,0x1233f,URU TIMES GAR,model,9,0.0001,1,0.6816,0,0,0,1.0,True
Assurbanipal,0x12341,URU TIMES HA,model,10,0.0036,1,0.7433,0,0,0,1.0,True
Assurbanipal,0x1234c,URU TIMES U PLUS GUD,model,12,0.0,1,0.7555,0,0,0,1.0,True
Assurbanipal,0x1235e,ZA TENU,model,4,0.0003,1,0.4756,0,0,0,1.0,True
Assurbanipal,0x12371,AB2 TIMES A,model,6,0.001,1,0.7142,0,0,0,1.0,True
Assurbanipal,0x12374,,model,8,0.0044,1,0.7284,0,0,0,1.0,True
Assurbanipal,0x1237b,GE22,model,1,0.0019,1,0.0019,1,0,0,1.0,True
Assurbanipal,0x1238e,,model,8,0.0037,1,0.7207,0,0,0,1.0,True
Assurbanipal,0x1238f,,model,8,0.0,1,0.7166,1,1,0,1.0,True
Assurbanipal,0x12390,,model,8,0.0,1,0.7166,1,1,0,1.0,True
Assurbanipal,0x12392,NINDA2 TIMES GI,model,12,0.0002,1,0.7995,0,0,0,1.0,True
Esagil,0x12020,AL,model,7,0.0,1,0.7508,0,0,0,0.15584,True
Esagil,0x12041,BAD,model,2,0.0006,1,0.3604,1,0,0,0.1556,True
Esagil,0x12084,DUN,model,9,0.0,1,0.7468,0,1,0,0.15586,True
Esagil,0x1208a,E,model,5,0.0,1,0.72,0,0,0,0.15534,True
Esagil,0x12096,EL,model,8,0.0006,1,0.7614,0,0,1,0.15647,True
Esagil,0x12098,EN TIMES GAN2,model,12,0.0009,1,0.7585,0,0,0,0.15677,True
